title,video_id,description,published_at,view_count,comment_count
【#賀瓏夜夜秀】| 正式預告 | THE NIGHT NIGHT SHOW with HELLO Trailer,iqY0CsGQfqk,"夜夜秀回來了，賀瓏回來了！
2023 / 10 / 6 (五) 12:00 KKTIX 正式啟售
🎫 搶先查看售票頁面 👉 https://str.network/TNNSHYT
⠀
沒有抹黑、沒有洗白，只有幽默和諷刺
沒有底線、沒有包袱，只有尖銳和真實
⠀
結合新聞、脫口秀、嘉賓訪談、音樂表演
以政治事件和社會議題為主的深夜娛樂現場秀
毫不畏懼地揭露政治世界中的荒謬
⠀
台灣政治令人擔憂與憤怒
就讓《賀瓏夜夜秀》帶您從政治諷刺中找到樂趣！
＿＿​＿​​＿​​＿​​＿​​＿​​＿​​＿​​＿​​＿​​＿​​＿​​＿​​
🎙《賀瓏夜夜秀》活動資訊 🎙
￣￣￣￣￣￣￣￣￣￣￣￣￣￣
▌啟售時間：2023/10/6 (五)  12:00 啟售
🛎 訂閱開賣提醒 ➪ https://str.network/rntnns

▌錄影場次：
【EP1｜2023/10/28 19:00 】
【EP2｜2023/11/04 19:00 】
【EP3｜2023/11/18 19:00 】
【EP4｜2023/11/25 19:00 】
【EP5｜2023/12/09 19:00 】
【EP6｜2023/12/16 19:00 】
【EP7｜2023/12/30 19:00 】
【EP8｜2024/01/06 19:00 】
【EP9｜2024/01/20 19:00 】
【EP10｜2024/01/27 19:00 】

▌購票方式：KKTIX 及全台全家便利商店 FamiPort

▌ 錄影地點：壹電視攝影棚
↳ 台北市內湖區新湖二路146巷18號

▌票　價：
VIP：NT$1,500 / A區：NT$1,200 / B區：NT$1,000（分區自由入座）
⠀
🤖️​演出相關問題，STRBOT 替你解惑 ➪ https://str.network/TNNSHFAQ

-----

｜導演｜強尼
｜製片｜張致盈
｜製片助理｜張自如
｜編劇｜賀瓏

｜攝影｜強尼
｜燈光｜康家維
｜燈光助理｜張詩笛、張紹承

｜剪輯｜強尼
｜後期混音｜張孟翔
｜後期調光調色｜于長江

｜演出｜賀瓏

｜妝髮｜黑占寶號

圖片來源：維基百科

-----
⧉ #薩泰爾娛樂 ⧉
≡  商業合作請來信：business@strnetwork.cc  ≡
≡ 影片授權請來信：press@strnetwork.cc ≡
｜未經同意，請勿轉載｜

▍YouTube：https://www.youtube.com/c/STRNetworkasia
▍Facebook：https://www.facebook.com/strnetworkasia/
▍Instagram：https://www.instagram.com/str_network/",2023-10-18T10:08:12Z,235686,419
【#賀瓏夜夜秀】賀瓏主持！啟動！,ndFsZmWk49U,"改變成真，我是夜夜秀金孫，Good timing，我一定侯侯做主持！

《#賀瓏夜夜秀》夜夜秀回來了，賀瓏回來了！
🎫 票券現正熱賣中 ➪ https://str.network/TNNSHYT
🔔 訂閱活動最新消息 ➪ https://str.network/rntnns

｜導演｜賀瓏
｜製作人｜潘瑋翔
｜編劇｜老K、德礎、東區德、藍恩、品喬
｜演員｜賀瓏、Albee、吉尼丁
｜舞蹈設計｜黑妹
｜舞者｜黑妹、小俐、于萱、大貓、韓吉、冰火、阿布、無盡
｜剪輯｜強尼
｜妝髮｜黑占寶號

音樂製作
｜演唱｜賀瓏、Albee、吉尼丁
｜作詞｜賀瓏
｜作曲｜冷靜寶貝有限公司
｜混音｜冷靜寶貝有限公司
｜合音｜黃欣偉、多多

-----
⧉ #薩泰爾娛樂 ⧉
≡  商業合作請來信：business@strnetwork.cc  ≡
≡ 影片授權請來信：press@strnetwork.cc ≡
｜未經同意，請勿轉載｜

▍YouTube：https://www.youtube.com/c/STRNetworkasia
▍Facebook：https://www.facebook.com/strnetworkasia/
▍Instagram：https://www.instagram.com/str_network/",2023-10-29T11:20:23Z,637698,1230
【#賀瓏夜夜秀】10/28 新聞亂報 EP1｜藍白兩情相悅,AkI9TgX5oBU,"我姓賀，夜夜秀不分顏色，我姓賀，賴柯侯郭快來這。
﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏
本集節目由 DeFit 贊助播出
﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋
❤️ #DeFit x #破蛋者 🐣
立即下載 ➡️ https://bit.ly/hello_defit

⏱️ 還在等大巨蛋？不必再等了！
🌍 全世界 #百萬用戶 的走路工 APP
🕶️ 新功能「#隱蔽模式」隨時安心上路
🐣 不出門也能走 #每天200公里

《#賀瓏夜夜秀》夜夜秀回來了，賀瓏回來了！
🎫 票券現正熱賣中 ➪ https://str.network/TNNSHYT
🔔 訂閱活動最新消息 ➪ https://str.network/rntnns

｜導演｜賀瓏
｜製作人｜潘瑋翔
｜編劇｜老K、德礎、東區德、藍恩、品喬
｜演員｜賀瓏、哩賀阿嬤
｜剪輯｜強尼
｜妝髮｜黑占寶號

-----
⧉ #薩泰爾娛樂 ⧉
≡  商業合作請來信：business@strnetwork.cc  ≡
≡ 影片授權請來信：press@strnetwork.cc ≡
｜未經同意，請勿轉載｜

▍YouTube：https://www.youtube.com/c/STRNetworkasia
▍Facebook：https://www.facebook.com/strnetworkasia/
▍Instagram：https://www.instagram.com/str_network/",2023-12-18T11:53:48Z,869135,1103
【#賀瓏夜夜秀】​⁠曾博恩正式卸下夜夜秀主持棒｜@brianptseng,jFegKHj35NA,"周瑜這個稱號，交由賀瓏 @hellohorlung 來扛。

《#賀瓏夜夜秀》夜夜秀回來了，賀瓏回來了！
🎫 票券現正熱賣中 ➪ https://str.network/TNNSHYT
🔔 訂閱活動最新消息 ➪ https://str.network/rntnns

｜導演｜賀瓏
｜製作人｜潘瑋翔
｜編劇｜東區德
｜演員｜賀瓏
｜來賓｜曾博恩
｜剪輯｜強尼
｜妝髮｜黑占寶號

-----
⧉ #薩泰爾娛樂 ⧉
≡  商業合作請來信：business@strnetwork.cc  ≡
≡ 影片授權請來信：press@strnetwork.cc ≡
｜未經同意，請勿轉載｜

▍YouTube：https://www.youtube.com/c/STRNetworkasia
▍Facebook：https://www.facebook.com/strnetworkasia/
▍Instagram：https://www.instagram.com/str_network/",2023-12-18T11:54:01Z,2016951,1212
【#賀瓏夜夜秀】欸！網軍側翼,ieBdCR1XdXk,"各位夜夜秀網軍們，Facebook 搜尋「BTS代購」粉絲專頁，按讚、留言、分享！
⌨️ 成為夜夜秀網軍 ➪ https://www.facebook.com/btsshope

《#賀瓏夜夜秀》夜夜秀回來了，賀瓏回來了！
🎫 票券現正熱賣中 ➪ https://str.network/TNNSHYT
🔔 訂閱活動最新消息 ➪ https://str.network/rntnns

｜🎪薩泰爾娛樂 近期售票演出🎪｜
▌🎤 床的世界《#G8高峰會》 
➪ https://str.network/G8YT
▌🐡 喬瑟夫《#河豚》Belle’s 變裝特映派對
➪ https://str.network/fishparty

｜導演｜賀瓏
｜製作人｜潘瑋翔
｜編劇｜老K、德礎、東區德、藍恩、品喬
｜研究員｜陳庠佑、周孟璇
｜演員｜賀瓏
｜剪輯｜卜帆
｜妝髮｜黑占寶號

-----
⧉ #薩泰爾娛樂 ⧉
≡  商業合作請來信：business@strnetwork.cc  ≡
≡ 影片授權請來信：press@strnetwork.cc ≡
｜未經同意，請勿轉載｜

▍YouTube：https://www.youtube.com/c/STRNetworkasia
▍Facebook：https://www.facebook.com/strnetworkasia/
▍Instagram：https://www.instagram.com/str_network/",2023-12-18T11:54:07Z,1533634,2668
【#賀瓏夜夜秀】藍白不整合讚頌者｜吉尼丁 @jinnyding0106,ZkGtSDxx_EU,"新世代的好男人，連支持率都要AA。

《#賀瓏夜夜秀》夜夜秀回來了，賀瓏回來了！
🎫 票券現正熱賣中 ➪ https://str.network/TNNSHYT
🔔 訂閱活動最新消息 ➪ https://str.network/rntnns

｜🎪薩泰爾娛樂 近期售票演出🎪｜
▌🎤 床的世界《#G8高峰會》 
➪ https://str.network/G8YT
▌💃 喬瑟夫《河豚》Belle’s 變裝特映派對
➪ https://str.network/fishparty

｜主唱｜吉尼丁 @jinnyding0106 
｜作詞｜老K @ThatsOldKay 
｜作曲｜吉尼丁 @jinnyding0106 
｜編曲｜吉尼丁 @jinnyding0106 
｜混音｜DJ Hauer @hauerhsieh 

｜導演｜賀瓏
｜製作人｜潘瑋翔
｜演員｜吉尼丁、賀瓏
｜剪輯｜強尼

-----
⧉ #薩泰爾娛樂 ⧉
≡  商業合作請來信：business@strnetwork.cc  ≡
≡ 影片授權請來信：press@strnetwork.cc ≡
｜未經同意，請勿轉載｜

▍YouTube：https://www.youtube.com/c/STRNetworkasia
▍Facebook：https://www.facebook.com/strnetworkasia/
▍Instagram：https://www.instagram.com/str_network/",2023-12-18T11:54:38Z,483103,553
【#賀瓏夜夜秀】Toyz與超哥的愛恨情仇，超派！｜Toyz ​⁠@Toyz69、超哥 ​⁠@superpie1111,LTPKlGpMRrY,"超派！

《#賀瓏夜夜秀》夜夜秀回來了，賀瓏回來了！
🎫 票券現正熱賣中 ➪ https://str.network/TNNSHYT
🔔 訂閱活動最新消息 ➪ https://str.network/rntnns

｜🎪薩泰爾娛樂 近期售票演出🎪｜
▌🎤 床的世界《#G8高峰會》 
➪ https://str.network/G8YT

｜導演｜賀瓏
｜製作人｜潘瑋翔
｜編劇｜東區德
｜演員｜賀瓏、Albee
｜來賓｜Toyz、超哥
｜剪輯｜卜帆
｜妝髮｜黑占寶號

-----
⧉ #薩泰爾娛樂 ⧉
≡  商業合作請來信：business@strnetwork.cc  ≡
≡ 影片授權請來信：press@strnetwork.cc ≡
｜未經同意，請勿轉載｜

▍YouTube：https://www.youtube.com/c/STRNetworkasia
▍Facebook：https://www.facebook.com/strnetworkasia/
▍Instagram：https://www.instagram.com/str_network/",2023-12-18T11:54:45Z,2153037,3753
【#賀瓏夜夜秀】11/4 新聞亂報 EP2｜藍白誰攻誰受？,tG9lyq9KkR0,"《如果60歲還在找工作，似乎就能成為台灣總統？》

歐洲最熱銷的德國Emma床墊
\ 提供100天免費試睡 /
全球累計賣出超過600萬張
全台免運費、免費到府安裝🚚
現在 Emma 官網還有雙十一 5 折優惠
用折扣碼【 nightnightshow 】額外再 9 折，還不快下單！
👉 https://links.emma-sleep.com.tw/nightnightshow
#德國Emma #emma床墊

【Dr.情趣】雙11狂購節🔥
讓你買到手軟，玩到腿軟
現在下單再抽PS5 🎮
🛒 https://drqqtoys.tw/DnykZ
#dr情趣 #雙十一

《#賀瓏夜夜秀》夜夜秀回來了，賀瓏回來了！
🎫 票券現正熱賣中 ➪ https://str.network/TNNSHYT
🔔 訂閱活動最新消息 ➪ https://str.network/rntnns

｜🎪薩泰爾娛樂 近期售票演出🎪｜
▌🎤 床的世界《#G8高峰會》 
➪ https://str.network/G8YT

｜導演｜賀瓏
｜製作人｜潘瑋翔
｜編劇｜老K、德礎、東區德、藍恩、品喬
｜演員｜賀瓏、Albee
｜剪輯｜強尼
｜妝髮｜黑占寶號

-----
⧉ #薩泰爾娛樂 ⧉
≡  商業合作請來信：business@strnetwork.cc  ≡
≡ 影片授權請來信：press@strnetwork.cc ≡
｜未經同意，請勿轉載｜

▍YouTube：https://www.youtube.com/c/STRNetworkasia
▍Facebook：https://www.facebook.com/strnetworkasia/
▍Instagram：https://www.instagram.com/str_network/",2023-12-18T11:54:52Z,744356,1175
【#賀瓏夜夜秀】​⁠Toyz vs 超哥 火烤對決 Roast Battle｜​⁠@Toyz69 ​⁠@superpie1111,ohRDIvLZeEo,"我不相信！ 

《#賀瓏夜夜秀》夜夜秀回來了，賀瓏回來了！
🎫 票券現正熱賣中 ➪ https://str.network/TNNSHYT
🔔 訂閱活動最新消息 ➪ https://str.network/rntnns

｜🎪薩泰爾娛樂 近期售票演出🎪｜
▌🎤 床的世界《#G8高峰會》 
➪ https://str.network/G8YT

｜導演｜賀瓏
｜製作人｜潘瑋翔
｜編劇｜老K
｜演員｜賀瓏
｜來賓｜Toyz、超哥
｜剪輯｜強尼
｜妝髮｜黑占寶號

-----
⧉ #薩泰爾娛樂 ⧉
≡  商業合作請來信：business@strnetwork.cc  ≡
≡ 影片授權請來信：press@strnetwork.cc ≡
｜未經同意，請勿轉載｜

▍YouTube：https://www.youtube.com/c/STRNetworkasia
▍Facebook：https://www.facebook.com/strnetworkasia/
▍Instagram：https://www.instagram.com/str_network/",2023-12-18T11:54:58Z,807548,1092
【#賀瓏夜夜秀】全明星床上運動會 ft. 黃沐妍小豬、梓梓@zntv5409、Peeta葛格@peetagege、High咖-邱志恒@high0704、曾博恩@brianptseng、徐展元,d0BENFvlQ7A,"好好健身
﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏   
本集影片由   杜蕾斯   邀約製作   
﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋﹋   
\ 杜蕾斯 X 薩泰爾 /
聯名打造「愛愛健身環套組」
#13種激情床上暖身運動 結合 #卡路里計算
立即進入遊戲網站 👉 https://skyurl.cc/cQcGS8Y

❤️一邊愛愛 一邊健身 ❤️
🔥#用我愛你戰勝卡路里🔥
 
🛒限量套組官網及指定通路熱賣中 
▌杜蕾斯官方旗艦店：https://skyurl.cc/t25SXQt 
▌屈臣氏： https://skyurl.cc/tSaQOXC 
▌康是美：https://skyurl.cc/ttQjXSC 
▌momo購物網：https://skyurl.cc/HQSt7XA 
▌PChome：https://skyurl.cc/Q7XSvrt 
▌Yahoo：https://skyurl.cc/vXtLQES 
*組合內容依各通路公告為準

#杜蕾斯 #Durex #DurexTaiwan 
#用我愛你戰勝卡路里 #杜蕾斯愛愛健身環套組

-----

｜導演｜強尼
｜製作人｜張致盈
｜製作助理｜陳奕瑋、劉俊麟
｜編劇｜賀瓏 
｜業務經理｜劉庭妤

｜攝影｜強尼、林侑陞、蔡旻樵、康家維
｜剪輯｜強尼 
｜動畫製作｜強尼
｜收音師｜廖邦儒
｜收音助理｜曹禹辰
｜後期混音｜深音音樂有限公司

｜主播｜徐展元
｜選手｜賀瓏、曾博恩、黃沐妍小豬、梓梓、Peeta葛格、High咖-邱志恒

｜妝髮｜黑占寶號 

｜特別感謝｜床的世界

-----
⧉ #薩泰爾娛樂 ⧉
≡  商業合作請來信：business@strnetwork.cc  ≡
≡ 影片授權請來信：press@strnetwork.cc ≡
｜未經同意，請勿轉載｜

▍YouTube：https://www.youtube.com/c/STRNetworkasia
▍Facebook：https://www.facebook.com/strnetworkasia/
▍Instagram：https://www.instagram.com/str_network/",2023-12-18T11:55:04Z,565571,531
